epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8513,1.6404,2.32295,1.73216,0.00236,0.02005,0.00084,0.00027,nan,nan,nan,0.0702222,0.00330864,0.00330864
2,68.2445,1.66924,2.22445,1.77601,0.08124,0.1245,0.02748,0.00777,3.02389,8.18276,3.7077,0.0401893,0.0066091,0.0066091
3,98.9457,1.62246,2.17182,1.75423,0.14625,0.17892,0.06008,0.01827,2.53081,13.1024,2.85395,0.0101235,0.00987655,0.00987655
4,127.997,1.56704,2.09799,1.70804,0.24371,0.27554,0.15241,0.06556,2.0444,3.96471,2.11334,0.0098515,0.0098515,0.0098515
5,158.745,1.50545,2.0223,1.6633,0.3252,0.3397,0.23039,0.10586,1.81044,3.38608,1.87497,0.009802,0.009802,0.009802
6,190.501,1.47207,1.95104,1.62715,0.34251,0.34562,0.27073,0.12784,1.82865,2.68329,1.88889,0.0097525,0.0097525,0.0097525
7,221.493,1.43307,1.91185,1.61209,0.33723,0.30437,0.22929,0.10925,1.78626,2.99585,1.87037,0.009703,0.009703,0.009703
8,251.258,1.40235,1.87015,1.59319,0.3399,0.32385,0.24321,0.11504,1.76539,2.8808,1.84705,0.0096535,0.0096535,0.0096535
9,283.888,1.39174,1.84964,1.58144,0.39569,0.36529,0.32469,0.16963,1.62364,2.20313,1.66919,0.009604,0.009604,0.009604
10,312.429,1.37891,1.83252,1.56879,0.34837,0.29349,0.22777,0.11355,1.784,2.55476,1.83384,0.0095545,0.0095545,0.0095545
11,341.358,1.37427,1.7959,1.55657,0.41498,0.34676,0.29286,0.15064,1.64236,2.46226,1.73391,0.009505,0.009505,0.009505
12,371.763,1.36073,1.77362,1.55407,0.44797,0.39164,0.36433,0.19707,1.57966,1.96777,1.64838,0.0094555,0.0094555,0.0094555
13,400.877,1.35377,1.76477,1.54363,0.46089,0.39602,0.37557,0.19707,1.56465,1.95656,1.61499,0.009406,0.009406,0.009406
14,429.223,1.33159,1.72745,1.53263,0.45509,0.3924,0.35267,0.19093,1.55858,2.06763,1.62049,0.0093565,0.0093565,0.0093565
15,458.286,1.31706,1.70625,1.52008,0.49215,0.40558,0.40781,0.22986,1.49209,1.77167,1.56349,0.009307,0.009307,0.009307
16,485.909,1.32495,1.7172,1.52747,0.41121,0.35937,0.31055,0.15863,1.64871,2.50385,1.68815,0.0092575,0.0092575,0.0092575
17,513.396,1.30568,1.68327,1.51285,0.44663,0.40844,0.36447,0.20049,1.5143,1.94742,1.56995,0.009208,0.009208,0.009208
18,541.751,1.288,1.67643,1.5023,0.4263,0.4134,0.35555,0.18847,1.53269,1.9355,1.57542,0.0091585,0.0091585,0.0091585
19,569.556,1.27497,1.67793,1.49654,0.47538,0.42773,0.39608,0.20928,1.58846,1.86926,1.64001,0.009109,0.009109,0.009109
20,600.888,1.28019,1.66042,1.4962,0.45206,0.43555,0.38716,0.21335,1.48266,1.85625,1.52967,0.0090595,0.0090595,0.0090595
21,629.925,1.27442,1.63775,1.491,0.48513,0.43936,0.41625,0.22631,1.51033,1.77733,1.57011,0.00901,0.00901,0.00901
22,659.946,1.26171,1.63597,1.47814,0.51597,0.44186,0.44444,0.2526,1.44736,1.66904,1.51511,0.0089605,0.0089605,0.0089605
23,688.579,1.26904,1.62125,1.48155,0.47471,0.45045,0.40613,0.22811,1.45763,1.75637,1.52187,0.008911,0.008911,0.008911
24,716.839,1.25478,1.61524,1.47569,0.51371,0.41069,0.41528,0.23396,1.46199,1.82538,1.51396,0.0088615,0.0088615,0.0088615
25,746.111,1.24249,1.59756,1.46551,0.50132,0.44797,0.43003,0.24618,1.43454,1.69662,1.50414,0.008812,0.008812,0.008812
26,775.089,1.25493,1.6087,1.47691,0.51976,0.4388,0.43663,0.25023,1.42431,1.73838,1.48971,0.0087625,0.0087625,0.0087625
27,803.327,1.24554,1.59502,1.46659,0.46901,0.38495,0.33521,0.18002,1.55995,2.15731,1.60571,0.008713,0.008713,0.008713
28,833.39,1.23372,1.58595,1.46621,0.51738,0.46133,0.45155,0.25858,1.41741,1.64855,1.4951,0.0086635,0.0086635,0.0086635
29,861.65,1.23163,1.57404,1.45786,0.55032,0.47031,0.47349,0.26697,1.40595,1.68311,1.47318,0.008614,0.008614,0.008614
30,891.738,1.23092,1.55968,1.44705,0.50195,0.4586,0.42933,0.24681,1.44613,1.74357,1.49803,0.0085645,0.0085645,0.0085645
31,919.495,1.23488,1.56879,1.4527,0.54481,0.48329,0.48721,0.28292,1.38701,1.59634,1.45014,0.008515,0.008515,0.008515
32,949.979,1.22833,1.55305,1.44994,0.52512,0.4852,0.47373,0.27491,1.39801,1.6448,1.45244,0.0084655,0.0084655,0.0084655
33,979.781,1.22824,1.54937,1.44325,0.54457,0.47184,0.48073,0.28798,1.36088,1.58637,1.43528,0.008416,0.008416,0.008416
34,1011.08,1.21865,1.543,1.44407,0.55321,0.46725,0.4815,0.27741,1.3932,1.61397,1.47311,0.0083665,0.0083665,0.0083665
35,1041.9,1.21334,1.53285,1.43948,0.52694,0.48005,0.48099,0.28501,1.37082,1.57797,1.43814,0.008317,0.008317,0.008317
36,1071.81,1.20569,1.51969,1.43451,0.56002,0.46038,0.48131,0.28447,1.36424,1.60196,1.43248,0.0082675,0.0082675,0.0082675
37,1101.43,1.19815,1.49537,1.42597,0.55398,0.4768,0.47978,0.28733,1.36099,1.57515,1.42584,0.008218,0.008218,0.008218
38,1130.26,1.2076,1.49969,1.42797,0.56616,0.48501,0.49595,0.29316,1.35112,1.56013,1.39705,0.0081685,0.0081685,0.0081685
39,1160.55,1.19481,1.49971,1.41885,0.57232,0.48635,0.49797,0.30162,1.33293,1.54863,1.40446,0.008119,0.008119,0.008119
40,1189.93,1.19048,1.48844,1.41619,0.58062,0.49322,0.51339,0.30393,1.32979,1.51551,1.38483,0.0080695,0.0080695,0.0080695
41,1219.5,1.18227,1.47957,1.41598,0.54534,0.49208,0.48437,0.28837,1.33298,1.53653,1.39323,0.00802,0.00802,0.00802
42,1247.92,1.18701,1.48612,1.42127,0.57017,0.50988,0.52417,0.31544,1.30761,1.47134,1.36836,0.0079705,0.0079705,0.0079705
43,1279.37,1.18074,1.46932,1.40712,0.56184,0.51174,0.52015,0.31624,1.29114,1.46902,1.36629,0.007921,0.007921,0.007921
44,1309.83,1.17102,1.4702,1.40685,0.58347,0.48348,0.51066,0.3112,1.30868,1.49488,1.38768,0.0078715,0.0078715,0.0078715
45,1338.64,1.16858,1.45424,1.39752,0.59961,0.51289,0.5372,0.32895,1.28857,1.43669,1.36676,0.007822,0.007822,0.007822
46,1368.23,1.16756,1.45764,1.40102,0.58922,0.50862,0.52704,0.3211,1.2863,1.44093,1.3568,0.0077725,0.0077725,0.0077725
47,1396.35,1.16729,1.43733,1.40367,0.57276,0.51249,0.52806,0.32702,1.27814,1.43309,1.36056,0.007723,0.007723,0.007723
48,1425.18,1.1636,1.44808,1.39858,0.59974,0.51384,0.54193,0.33848,1.26556,1.41248,1.34408,0.0076735,0.0076735,0.0076735
49,1453.5,1.16456,1.44768,1.39637,0.59067,0.52148,0.53963,0.33474,1.26369,1.42275,1.34978,0.007624,0.007624,0.007624
