epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0014,1.65735,2.35306,1.78335,0.0001,0.00955,5e-05,2e-05,nan,nan,nan,0.0702222,0.00330864,0.00330864
2,77.8337,1.66957,2.25512,1.81315,0.01386,0.00917,0.00237,0.00101,nan,nan,nan,0.0401893,0.0066091,0.0066091
3,115.324,1.63709,2.23372,1.8003,0.16752,0.09624,0.03144,0.01181,2.59668,9.01572,3.53067,0.0101235,0.00987655,0.00987655
4,151.748,1.58456,2.15993,1.76451,0.30956,0.23809,0.18517,0.08687,2.01154,4.40293,2.33626,0.0098515,0.0098515,0.0098515
5,188.3,1.52717,2.0748,1.70689,0.2729,0.25377,0.16238,0.06256,2.06,4.07794,2.18438,0.009802,0.009802,0.009802
6,224.958,1.47906,1.98707,1.65962,0.2238,0.22914,0.14653,0.06444,1.9872,3.04807,2.14255,0.0097525,0.0097525,0.0097525
7,261.451,1.44367,1.94599,1.62905,0.37594,0.34008,0.26588,0.12714,1.76585,3.22718,1.88885,0.009703,0.009703,0.009703
8,298.256,1.41822,1.90653,1.61772,0.38465,0.29712,0.25207,0.12099,1.81462,2.4259,1.86529,0.0096535,0.0096535,0.0096535
9,334.637,1.39216,1.87236,1.59749,0.33706,0.35784,0.25328,0.11996,1.69655,2.54168,1.79813,0.009604,0.009604,0.009604
10,370.828,1.38852,1.85984,1.59058,0.38652,0.28566,0.24717,0.11815,1.8237,2.4947,1.8844,0.0095545,0.0095545,0.0095545
11,406.757,1.37316,1.8201,1.58022,0.16151,0.19876,0.08913,0.0389,1.98256,3.45385,2.15627,0.009505,0.009505,0.009505
12,443.883,1.35279,1.79754,1.57177,0.42772,0.36739,0.3347,0.16986,1.66499,2.18052,1.72136,0.0094555,0.0094555,0.0094555
13,480.334,1.35296,1.79248,1.56269,0.42992,0.35459,0.31057,0.15655,1.66826,2.4056,1.75895,0.009406,0.009406,0.009406
