epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7982,1.73424,2.48348,1.89487,0.012,0.05347,0.00355,0.00144,nan,nan,nan,0.0702222,0.00330864,0.00330864
2,118.265,1.68192,2.312,1.85516,0.11765,0.05423,0.02497,0.00705,3.04988,inf,4.02015,0.0401893,0.0066091,0.0066091
3,174.186,1.62789,2.2257,1.81086,0.12543,0.13061,0.04193,0.01286,2.59143,6.1923,3.23453,0.0101235,0.00987655,0.00987655
4,230.819,1.56779,2.15799,1.76637,0.2399,0.29031,0.16496,0.06649,2.06603,9.84413,2.37854,0.0098515,0.0098515,0.0098515
5,287.024,1.51946,2.07814,1.73193,0.25513,0.31468,0.17431,0.07672,1.88113,4.17499,2.05688,0.009802,0.009802,0.009802
6,342.65,1.46982,1.9925,1.67655,0.34515,0.36452,0.27269,0.12998,1.76198,2.64317,1.91101,0.0097525,0.0097525,0.0097525
7,398.519,1.43548,1.96295,1.6494,0.37888,0.3292,0.26906,0.12395,1.74442,3.07669,1.86306,0.009703,0.009703,0.009703
8,454.183,1.39754,1.90742,1.62825,0.30081,0.26332,0.1793,0.07705,1.92274,2.76297,2.05052,0.0096535,0.0096535,0.0096535
9,510.042,1.39521,1.88054,1.62312,0.3951,0.34695,0.29544,0.15273,1.64568,2.26315,1.80468,0.009604,0.009604,0.009604
10,566.289,1.38435,1.86495,1.60868,0.4351,0.36128,0.30376,0.15771,1.66154,2.37817,1.77791,0.0095545,0.0095545,0.0095545
11,622.948,1.36564,1.80789,1.58877,0.44664,0.41398,0.36994,0.19304,1.52579,2.10621,1.63733,0.009505,0.009505,0.009505
12,678.392,1.3465,1.79227,1.58388,0.39161,0.3292,0.28967,0.14472,1.70048,2.22199,1.81308,0.0094555,0.0094555,0.0094555
13,734.445,1.34224,1.78539,1.57815,0.36728,0.35975,0.29211,0.14601,1.66247,2.19482,1.7546,0.009406,0.009406,0.009406
14,790.73,1.3315,1.74928,1.56771,0.46292,0.44281,0.40233,0.22193,1.51565,2.03924,1.61873,0.0093565,0.0093565,0.0093565
15,846.364,1.31166,1.73461,1.54621,0.48302,0.41856,0.39631,0.21678,1.50468,1.95884,1.64571,0.009307,0.009307,0.009307
16,901.924,1.31774,1.72239,1.55986,0.49722,0.42162,0.42473,0.23894,1.48379,1.77328,1.59092,0.0092575,0.0092575,0.0092575
17,958.41,1.29427,1.67933,1.53917,0.45119,0.37521,0.36322,0.19676,1.5003,1.90799,1.60299,0.009208,0.009208,0.009208
18,1015.02,1.28144,1.67996,1.53096,0.46523,0.40672,0.38275,0.20214,1.56979,1.92988,1.69864,0.0091585,0.0091585,0.0091585
19,1071.26,1.27975,1.68048,1.53131,0.46812,0.42944,0.41558,0.23241,1.48122,1.78599,1.60675,0.009109,0.009109,0.009109
20,1127.97,1.27945,1.65927,1.52789,0.49161,0.43326,0.42063,0.22846,1.48553,2.02531,1.61237,0.0090595,0.0090595,0.0090595
21,1183.66,1.26751,1.63485,1.51743,0.48488,0.45675,0.42919,0.23418,1.47911,1.7768,1.58678,0.00901,0.00901,0.00901
22,1240.52,1.26083,1.63471,1.51012,0.41991,0.36834,0.33142,0.1813,1.54662,2.01692,1.72288,0.0089605,0.0089605,0.0089605
23,1296.09,1.26163,1.61179,1.50777,0.50761,0.47394,0.46003,0.26555,1.40078,1.67594,1.53859,0.008911,0.008911,0.008911
24,1352.23,1.24712,1.60635,1.50336,0.43622,0.36949,0.3282,0.17162,1.59951,2.0859,1.72073,0.0088615,0.0088615,0.0088615
25,1408.35,1.23775,1.5949,1.49342,0.52192,0.45179,0.45264,0.26715,1.37952,1.65027,1.50355,0.008812,0.008812,0.008812
26,1463.78,1.24574,1.59128,1.50305,0.51252,0.46458,0.46198,0.26806,1.40872,1.68247,1.52698,0.0087625,0.0087625,0.0087625
27,1519.42,1.22975,1.57068,1.48673,0.56466,0.46537,0.48233,0.28254,1.39772,1.60954,1.52482,0.008713,0.008713,0.008713
28,1574.58,1.23218,1.57133,1.4889,0.54208,0.47756,0.48392,0.28152,1.39938,1.62406,1.52121,0.0086635,0.0086635,0.0086635
29,1630.52,1.22005,1.55165,1.47802,0.55487,0.47203,0.47483,0.27467,1.39573,1.62642,1.52733,0.008614,0.008614,0.008614
30,1686.07,1.21354,1.53213,1.46846,0.53091,0.47947,0.47983,0.28045,1.35452,1.63272,1.48207,0.0085645,0.0085645,0.0085645
31,1742.67,1.22307,1.53474,1.47761,0.55586,0.48157,0.49224,0.29269,1.36968,1.55991,1.51159,0.008515,0.008515,0.008515
32,1798.72,1.2101,1.52189,1.46781,0.52084,0.46,0.45174,0.25887,1.42085,1.68154,1.52752,0.0084655,0.0084655,0.0084655
33,1854.36,1.20872,1.52132,1.46078,0.58084,0.49428,0.51731,0.31312,1.31058,1.5058,1.43754,0.008416,0.008416,0.008416
34,1909.78,1.1983,1.50929,1.45928,0.58434,0.50239,0.52455,0.31394,1.34341,1.51798,1.48621,0.0083665,0.0083665,0.0083665
35,1965.16,1.19173,1.50057,1.45587,0.5656,0.51518,0.52485,0.31609,1.31114,1.49929,1.44695,0.008317,0.008317,0.008317
36,2020.9,1.18261,1.48224,1.45076,0.59758,0.51365,0.53991,0.32932,1.29697,1.45429,1.43525,0.0082675,0.0082675,0.0082675
37,2076.53,1.18136,1.46333,1.44571,0.57771,0.49921,0.51787,0.3084,1.30788,1.52482,1.43428,0.008218,0.008218,0.008218
38,2131.92,1.18108,1.46154,1.4437,0.59321,0.50926,0.53471,0.32996,1.27289,1.44528,1.41196,0.0081685,0.0081685,0.0081685
39,2187.49,1.17329,1.45965,1.44234,0.5899,0.50907,0.52993,0.32502,1.3015,1.46536,1.44878,0.008119,0.008119,0.008119
40,2243.04,1.16894,1.45389,1.43862,0.5747,0.53696,0.53709,0.3249,1.29138,1.47747,1.42506,0.0080695,0.0080695,0.0080695
41,2298.72,1.1579,1.42968,1.42921,0.5935,0.52747,0.551,0.34097,1.27424,1.40461,1.4142,0.00802,0.00802,0.00802
42,2354.99,1.15923,1.43917,1.43337,0.58647,0.53103,0.54267,0.33112,1.27036,1.42895,1.4111,0.0079705,0.0079705,0.0079705
43,2410.46,1.15486,1.42046,1.42457,0.58427,0.52645,0.54333,0.33707,1.25935,1.41824,1.41118,0.007921,0.007921,0.007921
44,2466.17,1.14315,1.42677,1.42326,0.59109,0.53065,0.54151,0.32768,1.28181,1.42835,1.42557,0.0078715,0.0078715,0.0078715
45,2522.35,1.13967,1.40796,1.41356,0.60546,0.52645,0.55407,0.34563,1.23878,1.39126,1.3895,0.007822,0.007822,0.007822
